Project_SK,Report_SK,Report_Date,Original_Cost,Revised_Cost,Cumulative_Expenditure,Physical_Progress_Pct,Financial_Progress_Pct,Physical_Financial_Divergence,Target_Delayed_Future
33,SRC_0012,2026-02-01,5729.0,5729.0,2.0,0.0,,,0.0
34,SRC_0011,2025-12-01,4997.0,4997.0,,67.0,,,0.0
34,SRC_0013,2026-01-01,4997.0,4997.0,2557.0,70.0,,,0.0
34,SRC_0012,2026-02-01,4997.0,4997.0,2681.0,72.0,,,0.0
35,SRC_0011,2025-12-01,4924.0,4919.0,1669.0,99.0,,,0.0
35,SRC_0013,2026-01-01,4924.0,4919.0,1669.0,99.0,,,0.0
35,SRC_0012,2026-02-01,4924.0,4919.0,1763.0,99.0,,,0.0
36,SRC_0011,2025-12-01,15767.0,15767.0,2321.0,19.0,,,0.0
36,SRC_0013,2026-01-01,15767.0,15767.0,2385.0,19.0,,,0.0
36,SRC_0012,2026-02-01,15767.0,15767.0,2659.0,19.0,,,0.0
37,SRC_0014,2025-07-01,27213.0,27213.0,1939.0,1.0,,,0.0
37,SRC_0010,2025-08-01,27213.0,27213.0,1954.0,1.0,,,0.0
37,SRC_0021,2025-09-01,27213.0,27213.0,2517.0,1.0,,,0.0
37,SRC_0020,2025-10-01,27213.0,27213.0,2549.0,1.0,,,0.0
37,SRC_0019,2025-11-01,27213.0,27213.0,2551.0,1.0,,,0.0
37,SRC_0011,2025-12-01,27213.0,27213.0,2608.0,1.0,,,0.0
37,SRC_0013,2026-01-01,27213.0,27213.0,2616.0,1.0,,,0.0
37,SRC_0012,2026-02-01,27213.0,27213.0,2820.0,1.0,,,0.0
38,SRC_0014,2025-07-01,17238.0,21781.0,20135.0,92.0,,,0.0
38,SRC_0010,2025-08-01,17238.0,21781.0,20270.0,92.0,,,0.0
38,SRC_0021,2025-09-01,17238.0,21781.0,20510.0,92.0,,,0.0
38,SRC_0020,2025-10-01,17238.0,21781.0,20522.0,93.0,,,0.0
38,SRC_0019,2025-11-01,17238.0,21781.0,20711.0,93.0,,,0.0
38,SRC_0011,2025-12-01,17238.0,21781.0,20744.0,94.0,,,0.0
38,SRC_0013,2026-01-01,17238.0,21781.0,20967.0,94.0,,,0.0
38,SRC_0012,2026-02-01,17238.0,21781.0,20991.0,94.0,,,0.0
39,SRC_0013,2026-01-01,29948.0,29948.0,1930.0,6.0,,,0.0
39,SRC_0012,2026-02-01,29948.0,29948.0,2034.0,7.0,,,0.0
40,SRC_0013,2026-01-01,25000.0,25000.0,90.0,0.0,,,0.0
40,SRC_0012,2026-02-01,25000.0,25000.0,90.0,0.0,,,0.0
41,SRC_0011,2025-12-01,24819.0,24819.0,1986.0,5.0,,,0.0
41,SRC_0013,2026-01-01,24819.0,24819.0,1986.0,6.0,,,0.0
41,SRC_0012,2026-02-01,24819.0,24819.0,2234.0,7.0,,,0.0
42,SRC_0013,2026-01-01,20446.0,20446.0,1230.0,5.0,,,0.0
42,SRC_0012,2026-02-01,20446.0,20446.0,1295.0,5.0,,,0.0
43,SRC_0014,2025-07-01,7196.0,12770.0,13533.0,72.0,,,0.0
43,SRC_0010,2025-08-01,7196.0,12770.0,13533.0,72.0,,,0.0
43,SRC_0021,2025-09-01,7196.0,12770.0,13691.0,72.0,,,0.0
43,SRC_0020,2025-10-01,7196.0,12770.0,13765.0,72.0,,,0.0
43,SRC_0019,2025-11-01,7196.0,12770.0,13838.0,72.0,,,0.0
43,SRC_0011,2025-12-01,7196.0,12770.0,13898.0,72.0,,,0.0
44,SRC_0014,2025-07-01,2139.0,,328.0,14.0,,,0.0
44,SRC_0010,2025-08-01,2139.0,,406.0,17.0,,,0.0
44,SRC_0021,2025-09-01,2139.0,,471.0,21.0,,,0.0
44,SRC_0020,2025-10-01,2139.0,,473.0,21.0,,,0.0
44,SRC_0019,2025-11-01,2139.0,,503.0,24.0,,,0.0
44,SRC_0011,2025-12-01,2139.0,,568.0,27.0,,,0.0
44,SRC_0013,2026-01-01,2139.0,,626.0,30.0,,,0.0
44,SRC_0012,2026-02-01,2139.0,,688.0,33.0,,,0.0
45,SRC_0010,2025-08-01,1828.0,1828.0,1532.0,66.0,,,0.0
45,SRC_0021,2025-09-01,1828.0,1828.0,1565.0,67.0,,,0.0
45,SRC_0020,2025-10-01,1828.0,1828.0,1322.0,68.0,,,0.0
45,SRC_0019,2025-11-01,1828.0,2161.0,1355.0,2.0,,,0.0
45,SRC_0011,2025-12-01,1828.0,2161.0,1492.0,72.0,,,0.0
45,SRC_0013,2026-01-01,1828.0,2161.0,1505.0,73.0,,,0.0
45,SRC_0012,2026-02-01,1828.0,2161.0,1517.0,74.0,,,0.0
46,SRC_0010,2025-08-01,1702.0,,88.0,8.0,,,0.0
46,SRC_0021,2025-09-01,1702.0,,117.0,9.0,,,0.0
46,SRC_0020,2025-10-01,1702.0,,117.0,10.0,,,0.0
46,SRC_0019,2025-11-01,1702.0,,153.0,14.0,,,0.0
46,SRC_0011,2025-12-01,1702.0,,184.0,17.0,,,0.0
46,SRC_0013,2026-01-01,1702.0,,184.0,18.0,,,0.0
46,SRC_0012,2026-02-01,1702.0,,208.0,19.0,,,0.0
47,SRC_0010,2025-08-01,1299.0,,349.0,28.0,,,0.0
47,SRC_0021,2025-09-01,1299.0,,349.0,28.0,,,0.0
48,SRC_0014,2025-07-01,7612.0,,4698.0,81.0,,,0.0
48,SRC_0010,2025-08-01,7612.0,,4698.0,81.0,,,0.0
49,SRC_0014,2025-07-01,7580.0,,3091.0,65.0,,,0.0
49,SRC_0010,2025-08-01,7580.0,,3091.0,65.0,,,0.0
50,SRC_0010,2025-08-01,14323.0,21886.0,15598.0,69.0,,,0.0
51,SRC_0014,2025-07-01,31580.0,36354.0,1342.0,10.0,,,0.0
51,SRC_0010,2025-08-01,31580.0,36354.0,1342.0,10.0,,,0.0
51,SRC_0021,2025-09-01,31580.0,36354.0,1342.0,10.0,,,0.0
51,SRC_0020,2025-10-01,31580.0,36354.0,1342.0,10.0,,,0.0
52,SRC_0010,2025-08-01,30274.0,30274.0,26326.0,95.0,,,0.0
52,SRC_0021,2025-09-01,30274.0,30274.0,26612.0,95.0,,,0.0
52,SRC_0020,2025-10-01,30274.0,30274.0,26612.0,95.0,,,0.0
53,SRC_0010,2025-08-01,26405.0,30695.0,29478.0,94.0,,,0.0
53,SRC_0021,2025-09-01,26405.0,30695.0,29568.0,94.0,,,0.0
53,SRC_0020,2025-10-01,26405.0,30695.0,29618.0,94.0,,,0.0
54,SRC_0010,2025-08-01,24949.0,24949.0,15785.0,69.0,,,0.0
54,SRC_0021,2025-09-01,24949.0,24949.0,17380.0,70.0,,,0.0
54,SRC_0020,2025-10-01,24949.0,24949.0,17838.0,71.0,,,0.0
55,SRC_0020,2025-10-01,5851.0,,20.0,3.0,,,0.0
55,SRC_0019,2025-11-01,5851.0,,20.0,3.0,,,0.0
72,SRC_0021,2025-09-01,150000.0,,1940.0,11.0,,,0.0
